id,category,author,title,cover,inventory,threshold,price
56,book,Helen Vendler,Poems  Poets  Poetry: An Introduction and Anthology,,20,10,1.99
57,book,Elizabeth Hun Schmidt,The Poets Laureate Anthology,,20,10,38.52
58,book,Various,The Portable Beat Reader,,20,10,18.00
59,book,Barbara Parisi,The Best American Short Plays 2008-2009,,20,10,14.85
60,book,Lori Foster,The Gift of Love,,20,10,14.43
61,book,Roy J. Cook,One Hundred and One Famous Poems (Barnes &amp; Noble Library of Essential Reading),,20,10,8.95
62,book,J. D. McClatchy,The Vintage Book of Contemporary American Poetry,,20,10,13.65
63,book,R. S. Gwynn,Literature: A Pocket Anthology,,20,10,46.67
64,book,Wally Lamb,I'll Fly Away: Further Testimonies from the Women of York Prison,,20,10,10.99
65,book,Bill McKibben,American Earth: Environmental Writing Since Thoreau,,20,10,29.13
66,book,Harold Bloom,Best Poems of the English Language: From Chaucer Through Robert Frost,,20,10,15.79
67,book,Ian Frazier,Humor Me: An Anthology of Funny Contemporary Writing (Plus Some Great Old Stuff Too),,20,10,25.99
68,book,Mary Frosch,Coming of Age in America: A Multicultural Anthology,,20,10,16.41
69,book,Booker T. Washington,Three African-American Classics: Up from Slavery  The Souls of Black Folk and Narrative of the Life of Frederick Douglass,,20,10,6.63
70,book,Nikki Giovanni,100 Best African American Poems with CD,,20,10,18.39
71,book,Joel Conarroe,Six American Poets: An Anthology,,20,10,12.24
72,book,Sandra M. Gilbert,Norton Anthology of Literature by Women: The Traditions in English,,20,10,70.64
73,book,Donna E. Norton,Multicultural Children's Literature: Through the Eyes of Many Children,,20,10,46.00
74,book,Hayden Carruth,The Voice That Is Great within Us: American Poetry of the Twentieth Century,,20,10,8.40
75,book,A.L. Alexander,Poems That Touch the Heart,,20,10,14.99
76,book,Paul Auster,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,,20,10,12.29
77,book,Paula J. Carlson,Listening For God Rdr Vol 4,,20,10,13.43
78,book,George Perkins,The American Tradition in Literature (concise) book alone,,20,10,106.79
79,book,Peter Schakel,Approaching Literature: Writing  Reading  Thinking,,20,10,48.94
80,book,Arnold Krupat,The Norton Anthology of American Literature: Volume C: 1865-1914,,20,10,37.77
81,book,Peter Straub,American Fantastic Tales Boxed Set,,20,10,49.42
82,book,Maria Mazziotti Gillan,Unsettling America: An Anthology of Contemporary Multicultural Poetry,,20,10,16.16
83,book,Paula J. Carlson,Listening For God Reader  Vol 1,,20,10,13.43
84,book,James Leonard,Concise Anthology of American Literature,,20,10,92.38
85,book,Paul Lauter,The Heath Anthology of American Literature: Contemporary Period (1945 To The Present)  Volume E,,20,10,87.49
86,book,David Lewis,The Portable Harlem Renaissance Reader,,20,10,15.90
87,book,Bert Hitchcock,American Short Stories,,20,10,76.05
88,book,Shane Weller,Great Love Poems,,20,10,1.99
89,book,Donald McQuade,The Harper American Literature  Single Volume Edition,,20,10,89.47
90,book,Margarite Fernandez Olmos,The Latino Reader: An American Literary Tradition from 1542 to the Present,,20,10,13.98
